month,cubicmetres,dailyusage,temp,year,roof_insulation,wall_insulation,high_efficiency_furnace
July,27.9,0.9,18.0,2005,0,0,0
August,18.6,0.6,17.0,2005,0,0,0
September,22.4,0.7,17.0,2005,0,0,0
October,153.6,4.8,12.0,2005,0,0,0
November,316.1,10.9,6.0,2005,0,0,0
December,551.6,21.0,-5.0,2005,0,0,0
January,316.8,17.9,0.0,2006,0,0,0
February,588.0,21.7,-2.0,2006,0,0,0
March,537.0,19.7,-1.0,2006,0,0,0
April,315.8,9.9,6.0,2006,0,0,0
May,185.6,5.8,11.0,2006,0,0,0
June,39.0,1.3,17.0,2006,0,0,0
July,29.0,1.0,17.0,2006,0,0,0
August,8.5,0.5,17.0,2006,0,0,0
September,48.0,1.5,15.0,2006,0,0,0
October,111.4,6.4,8.1,2006,0,0,0
November,333.0,11.1,4.0,2006,0,0,0
December,375.3,13.9,3.0,2006,0,0,0
January,491.7,14.9,0.0,2007,0,0,0
February,738.0,24.6,-9.0,2007,0,0,0
March,484.4,17.3,-3.0,2007,0,0,0
April,301.6,10.4,4.0,2007,0,0,0
May,125.4,3.8,12.0,2007,0,0,0
June,42.0,1.4,17.0,2007,0,0,0
July,46.2,1.4,17.0,2007,0,0,0
August,15.5,0.5,17.0,2007,0,0,0
September,42.7,1.4,16.0,2007,0,0,0
October,73.5,2.4,14.0,2007,0,0,0
November,265.2,9.1,4.0,2007,0,0,0
December,460.8,16.5,-3.0,2007,0,0,0
January,466.7,15.1,-1.0,2008,0,0,0
February,712.0,23.7,-5.0,2008,0,0,0
March,508.5,15.4,-4.0,2008,0,0,0
April,276.1,9.5,7.0,2008,0,0,0
May,137.0,4.6,11.0,2008,0,0,0
June,59.6,1.8,16.0,2008,0,0,0
July,28.8,1.0,18.0,2008,0,0,0
August,15.9,0.5,18.0,2008,0,0,0
September,35.8,1.2,17.0,2008,0,0,0
October,123.1,4.1,12.0,2008,0,0,0
November,310.9,10.0,4.0,2008,1,0,0
December,509.5,17.6,-3.0,2008,1,0,0
January,532.3,18.4,-7.0,2009,1,0,0
February,568.0,18.9,-6.0,2009,1,0,0
March,490.6,16.4,-1.0,2009,1,0,0
April,275.1,8.9,6.0,2009,1,0,0
May,99.3,3.2,13.0,2009,1,0,0
June,37.7,1.3,15.0,2009,1,0,0
July,29.8,0.9,17.0,2009,1,0,0
August,23.8,0.7,18.0,2009,1,0,0
September,36.7,1.3,16.0,2009,1,0,0
October,162.9,5.6,9.0,2009,1,0,0
November,217.5,7.5,8.0,2009,1,0,0
December,400.2,13.3,1.0,2009,1,0,0
January,585.9,18.3,-5.0,2010,1,0,0
February,543.2,18.1,-5.0,2010,1,0,0
March,348.6,11.2,2.0,2010,1,1,0
April,200.1,6.9,9.0,2010,1,1,0
May,137.0,4.7,12.0,2010,1,1,0
June,45.7,1.4,18.0,2010,1,1,0
July,35.8,1.2,18.0,2010,1,1,0
August,28.8,0.9,18.0,2010,1,1,0
September,32.8,1.1,16.0,2010,1,1,0
October,110.2,3.8,12.0,2010,1,1,0
November,170.8,6.1,7.0,2010,1,1,1
December,361.5,11.3,-2.0,2010,1,1,1
January,423.1,13.6,-6.0,2011,1,1,1
February,449.9,15.5,-7.0,2011,1,1,1
March,376.4,11.8,-2.0,2011,1,1,1
April,245.3,9.1,3.0,2011,1,1,1
